Name,Thickness,Thickness Position,Camber,Camber Positionkc135a,49.162766,64.139,-26.075096,64.139
e433,7.969854,1.0,0.85032,6.684
e434,8.43888,1.0,0.886309,7.068
e435,8.357764,1.0,0.879686,7.002
e471,0.062597,0.298,0.047,0.533
e472,6.181479,5.0,0.683039,4.991
e473,6.229203,5.044,0.687025,5.034
e474,0.14084,0.215,-0.0,0.058
e475,0.15,0.217,-0.0,0.023
e479,6.217165,5.033,0.685984,5.023
e485,8.053052,1.0,0.857399,6.75
e49,2.430975,1.637,-0.838158,15.0
e502,8.556909,7.136,-4.343436,36.0
e520,7.329651,6.022,0.791604,6.009
e521,7.219425,5.912,0.782318,5.909
e540,8.709389,1.0,0.902198,7.146
e541,8.652744,1.0,0.897216,7.1
e542,9.316871,1.0,0.945537,7.651
e543,9.350547,1.0,0.9487,7.678
e544,9.174829,7.725,-4.695405,36.0
e545,9.145801,7.697,-4.677429,36.0
e546,9.387708,1.0,0.952803,7.707
e547,8.225412,6.95,-4.140117,35.0
e548,8.613592,1.0,0.898989,7.215
e549,8.127009,1.0,0.862594,6.814
e550,8.494346,1.0,0.890475,7.116
e551,8.007289,1.0,0.853446,6.716
e552,8.339048,1.0,0.876376,6.934
e553,8.236935,1.0,0.870812,6.904
e554,8.669874,1.0,0.903239,7.262
e555,8.201581,1.0,0.868739,6.874
e556,8.185806,6.917,-4.116146,35.0
e557,8.51228,1.0,0.889414,7.076
e558,9.400694,1.0,0.92896,7.498
e559,7.675108,6.118,-3.847839,33.0
e560,6.675091,5.218,-3.276134,33.0
e561,6.468546,5.035,0.703428,4.994
e562,7.943092,1.0,0.830059,6.278
e58,1.045412,0.762,0.780836,-0.036
e580,6.451434,5.005,0.702796,4.982
e582,7.753917,6.505,0.832741,6.494
e583,8.376751,7.102,-4.225068,35.0
e584,8.543795,1.0,0.894548,7.157
e585,7.763847,6.515,-3.873834,35.0
e587,9.483486,1.0,0.959358,7.789
e59,1.65116,1.203,0.782577,-0.021
e591,0.156731,0.25,0.064839,0.477
e593,8.28739,1.0,0.875932,7.031
e598,8.306833,1.0,0.877458,7.047
e603,9.090213,7.439,-4.642125,33.0
e604,9.380667,1.0,0.948939,7.745
e61,0.056689,0.238,0.066672,0.51
e62,0.056403,0.262,0.05353,0.493
e63,0.042671,0.228,0.053957,0.521
e635,7.412413,6.005,0.791142,5.986
e636,6.395873,5.082,0.699804,5.062
e637,5.597897,4.378,0.625004,4.357
e638,8.93167,1.0,0.897197,7.103
e639,7.839349,1.0,0.821142,6.197
e64,0.084445,0.28,0.033171,0.515
e642,4.767575,3.655,0.545691,3.645
e654,9.056376,1.0,0.931629,7.582
e655,7.978012,1.0,0.851395,6.692
e656,8.73616,1.0,0.908387,7.314
e657,8.444571,1.0,0.886118,7.074
e66,7.589008,6.026,-3.807807,33.0
e662,6.301636,4.929,0.690445,4.908
e664,4.572623,3.491,-2.048015,32.0
e664ex,4.881377,3.759,0.57897,3.749
e668,8.804029,7.38,-4.485213,36.0
e67,6.955781,5.51,0.749898,5.492
e678,4.761459,3.55,0.542801,3.54
e68,7.625896,1.0,0.806732,6.096
e682,4.412307,3.357,0.511228,3.347
e694,4.712227,3.51,0.538196,3.499
e71,0.051637,0.257,0.046134,0.531
e715,7.922881,6.54,-3.973926,34.0
e748,6.953246,5.465,0.746799,5.423
e793,7.750672,1.0,0.814372,6.125
e817,7.968481,1.0,0.843047,6.445
e818,7.35249,5.879,0.791158,5.876
e836,3.920974,3.022,0.466712,3.022
e837,4.833016,3.799,0.555808,3.799
e838,4.957965,3.907,0.567976,3.907
e850,7.035264,5.831,-3.453856,33.0
e851,8.352633,6.802,-4.241027,35.0
e852,8.86032,7.278,-4.526978,35.0
e853,6.496902,5.179,0.711749,5.173
e854,7.718287,6.225,-3.873393,35.0
e855,6.334173,5.047,0.695957,5.031
e856,7.376517,6.043,0.792314,6.022
e857,9.613894,1.0,0.951501,7.685
e858,7.858989,6.505,0.834243,6.46
e862,59.293613,-17.719,26.158472,-17.719
e863,7.18488,5.967,-3.515473,31.0
e864,119.259727,129.16,-63.170853,129.16
e874,4.204709,3.102,0.493766,3.102
e904,6.828596,5.197,-3.407801,56.0
e908,5.637278,4.155,0.635167,4.155
ea61009,14.910167,10.77,-7.842309,10.77
ea61012,1.872164,1.438,0.263011,1.438
ea81006,0.382083,0.281,0.749245,0.013
ebambino7,0.060011,0.401,0.018489,0.201
ec863914,3.859828,3.172,0.446969,3.16
eh0009,0.09,0.287,0.0,0.768
eh1070,0.07,0.287,0.009966,0.259
eh1090,0.089911,0.287,0.009934,0.259
eh1590,0.08993,0.287,0.014902,0.259
eh2010,0.100778,0.287,0.019922,0.259
eh2012,0.1199,0.287,0.019883,0.259
eh2070,0.07,0.287,0.019859,0.259
eh2510,0.099939,0.3,0.024667,0.25
eh3012,0.119759,0.3,0.029655,0.25
eiffel10,0.027496,0.0,0.053277,0.4
eiffel371,0.144006,0.301,0.030566,0.299
eiffel385,0.134385,0.207,0.043378,0.494
eiffel428,0.089592,0.301,0.041456,0.401
eiffel430,0.097298,0.152,0.043845,0.402
esa40,0.107174,0.271,0.019808,0.12
falcon,0.136779,0.306,0.016327,0.206
fauvel,7.544172,11.881,2.14083,11.881
fg1,0.081713,0.301,0.03002,0.399
fg2,0.081601,0.3,0.032547,0.3
fg3,0.101401,0.3,0.041569,0.3
fg4,0.127028,0.302,0.046024,0.398
fx049915,12.900808,3.198,6.117743,3.198
fx05188,5.102883,4.138,0.579495,4.125
fx05191,4.797115,3.862,0.548945,3.848
fx057816,1.600922,1.226,-0.27303,13.0
fx05h126,37.161095,-4.516,16.643873,-4.516
fx082512,0.53391,0.394,0.769128,-0.0
fx08s176,4.093182,3.239,0.479121,3.223
fx2,2.482245,1.89,0.323419,1.89
