Name,Alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
a18sm,25.5,1.3418,0.37462,0.3615,-0.2281,0.3943,1.0
a18sm,26.0,1.3572,0.3807,0.36768,-0.2322,0.3786,1.0
a18sm,26.5,1.3723,0.38683,0.3739,-0.2363,0.3635,1.0
a18sm,27.0,1.3868,0.39257,0.37974,-0.2405,0.3494,1.0
a18sm,27.5,1.4008,0.39789,0.38515,-0.2449,0.3365,1.0
a18sm,28.0,1.4147,0.4037,0.39116,-0.2494,0.3248,1.0
a18sm,28.5,1.429,0.41123,0.3988,-0.2537,0.3134,1.0
a18sm,29.0,1.444,0.421,0.4087,-0.2578,0.3012,1.0
a18sm,29.5,1.4552,0.4222,0.41002,-0.2628,0.2899,1.0
a18sm,30.0,1.466,0.42435,0.41226,-0.2679,0.2805,1.0
a63a108c,0.0,0.007,0.03336,0.00983,-0.003,1.0,1.0
a63a108c,0.5,0.0472,0.03347,0.00985,-0.0013,1.0,1.0
a63a108c,1.0,0.0867,0.03372,0.01015,0.0004,1.0,1.0
a63a108c,1.5,0.1254,0.03412,0.01073,0.002,1.0,1.0
a63a108c,2.0,0.1632,0.03471,0.01163,0.0036,1.0,1.0
a63a108c,2.5,0.1999,0.03553,0.01288,0.0049,1.0,1.0
a63a108c,3.0,0.235,0.03667,0.01457,0.0059,1.0,1.0
a63a108c,3.5,0.2675,0.0383,0.01687,0.0062,1.0,1.0
a63a108c,4.0,0.2937,0.04081,0.0201,0.0052,1.0,1.0
a63a108c,4.5,0.3078,0.04501,0.02486,0.0018,1.0,1.0
a63a108c,5.0,0.3134,0.05091,0.03109,-0.0039,1.0,1.0
a63a108c,5.5,0.321,0.05732,0.03767,-0.0098,1.0,1.0
a63a108c,6.0,0.3322,0.06379,0.04429,-0.0151,1.0,1.0
a63a108c,6.5,0.4404,0.07894,0.06025,-0.0413,0.8989,1.0
a63a108c,7.0,0.482,0.0885,0.07012,-0.049,0.85,1.0
a63a108c,7.5,0.5026,0.09658,0.0783,-0.053,0.8376,1.0
a63a108c,8.0,0.4973,0.10222,0.08389,-0.0532,0.8681,1.0
a63a108c,8.5,0.4648,0.1042,0.08564,-0.0476,0.9447,1.0
a63a108c,9.0,0.429,0.10441,0.08563,-0.0381,1.0,1.0
a63a108c,9.5,0.4469,0.11151,0.09282,-0.0413,1.0,1.0
a63a108c,10.0,0.465,0.11867,0.10005,-0.0445,1.0,1.0
a63a108c,11.0,0.5021,0.1331,0.11467,-0.0509,1.0,1.0
a63a108c,11.5,0.5211,0.14036,0.12201,-0.0542,1.0,1.0
